,Title,Views,Likes,Comments,Favorites,Publish_date,Hour,Day of Week,Month,Year
0,Is the Economy on the Brink of a Recession? | Let's Look at the Data!,1,18,5,0,2024-06-13,11,Thu,Jun,2024
1,Top 5 Most Common Excel Functions in Excel,2935,180,7,0,2024-06-11,12,Tue,Jun,2024
2,5 Awesome Excel Functions You've Probably Never Heard Of,3863,188,15,0,2024-06-04,12,Tue,Jun,2024
3,How to Create Custom Functions in Excel | Lambda Functions,4585,182,10,0,2024-05-28,12,Tue,May,2024
4,Top 5 Most Popular Functions In Microsoft Excel,13206,372,25,0,2024-05-21,12,Tue,May,2024
5,Infrastructure of Analyst Builder | Entire Tech Stack | Part 3,3472,70,9,0,2024-05-14,12,Tue,May,2024
6,2 Hour Data Analyst Interview Masterclass | Interview Better Than The Competition,45422,1771,43,0,2024-05-07,15,Tue,May,2024
7,Challenges of Creating Analyst Builder | Challenges of a Startup | Part 2,2070,57,11,0,2024-05-07,12,Tue,May,2024
8,How We Started Analyst Builder | How We Created It | Part 1,5509,195,32,0,2024-04-30,12,Tue,Apr,2024
9,MySQL Exploratory Data Analysis | Full Project,32691,858,47,0,2024-04-23,12,Tue,Apr,2024
10,750k Subscriber Livestream! | Giveaways | Songs | Q/A,5089,232,14,0,2024-04-18,18,Thu,Apr,2024
11,Data Cleaning in MySQL | Full Project,67442,1895,249,0,2024-04-16,12,Tue,Apr,2024
12,How to get Promoted as a Data Analyst | Alex The Analyst Show Episode 26,7679,243,75,0,2024-04-09,12,Tue,Apr,2024
13,Triggers and Events in MySQL | Advanced MySQL Series,18399,687,28,0,2024-04-02,12,Tue,Apr,2024
14,How to give up on the job search fast,9979,645,18,0,2024-03-27,12,Wed,Mar,2024
15,Stored Procedures in MySQL | Advanced MySQL Series,18617,447,21,0,2024-03-26,12,Tue,Mar,2024
16,Temp Tables in MySQL | Advanced MySQL Series,15467,412,19,0,2024-03-19,12,Tue,Mar,2024
17,CTEs in MySQL | Advanced MySQL Series,25416,542,24,0,2024-03-12,12,Tue,Mar,2024
18,7 Mistakes to Avoid During Your Data Analyst Job Search,17601,653,50,0,2024-03-05,13,Tue,Mar,2024
